Year,Team,Player,Pos,Ht_in,Wt,Birth_Date,Birth,Exp,College
1984,MIL,Lorenzo Romar,PG,73.00,175,13-Nov-58,us US,3,Washington
1985,MIL,Lorenzo Romar,PG,73.00,175,13-Nov-58,us US,4,Washington
1987,MIL,Scott Skiles,PG,73.00,180,5-Mar-64,us US,R,Michigan State
1994,MIL,Lee Mayberry,PG,73.00,172,12-Jun-70,us US,1,Arkansas
1994,MIL,Eric Murdock,PG,73.00,190,14-Jun-68,us US,2,Providence
1997,MIL,Shawn Respert,SG,73.00,195,6-Feb-72,us US,1,Michigan State
1998,MIL,Litterial Green,PG,73.00,185,7-Mar-70,us US,3,Georgia
2007,MIL,Mo Williams,PG,73.00,198,19-Dec-82,us US,3,Alabama
2010,MIL,Brandon Jennings,PG,73.00,170,23-Sep-89,us US,R,
2013,MIL,Brandon Jennings,PG,73.00,170,23-Sep-89,us US,3,
2019,MIL,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,8,Kentucky
2020,MIL,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,9,Kentucky
2023,MIL,Jevon Carter,PG,73.00,200,14-Sep-95,us US,4,West Virginia
1981,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,2,West Texas A&M University
1982,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,3,West Texas A&M University
1982,PHI,Franklin Edwards,PG,73.00,170,2-Feb-59,us US,R,Cleveland State University
1984,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,5,West Texas A&M University
1984,PHI,Franklin Edwards,PG,73.00,170,2-Feb-59,us US,2,Cleveland State University
1984,PHI,Wes Matthews,PG,73.00,170,24-Aug-59,us US,3,Wisconsin
1985,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,6,West Texas A&M University
1988,PHI,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,9,West Texas A&M University
1995,PHI,Alphonso Ford,SG,73.00,190,31-Oct-71,us US,1,Mississippi Valley State University
1995,PHI,B.J. Tyler,PG,73.00,185,30-Apr-71,us US,R,"DePaul, Texas"
1997,PHI,Frankie King,SG,73.00,185,6-Jun-72,us US,1,Western Carolina University
2016,PHI,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,R,"Duquesne, Arizona"
2017,PHI,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,1,"Duquesne, Arizona"
2019,PHI,Demetrius Jackson,PG,73.00,201,7-Sep-94,us US,2,Notre Dame
2019,PHI,T.J. McConnell,PG,73.00,190,25-Mar-92,us US,3,"Duquesne, Arizona"
2020,PHI,Raul Neto,PG,73.00,180,19-May-92,br BR,4,
1981,UTA,Carl Nicks,PG,73.00,175,6-Oct-58,us US,R,Indiana State University
1982,UTA,Carl Nicks,SG,73.00,175,6-Oct-58,us US,1,Indiana State University
1985,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,R,Gonzaga
1988,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,3,Gonzaga
1991,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,6,Gonzaga
1994,UTA,John Crotty,PG,73.00,185,15-Jul-69,us US,1,Virginia
1994,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,9,Gonzaga
1995,UTA,John Crotty,PG,73.00,185,15-Jul-69,us US,2,Virginia
1995,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,10,Gonzaga
1997,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,12,Gonzaga
1998,UTA,Troy Hudson,PG,73.00,170,13-Mar-76,us US,R,"Missouri, Southern Illinois"
1998,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,13,Gonzaga
1998,UTA,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,R,Kansas
2000,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,15,Gonzaga
2000,UTA,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,2,Kansas
2001,UTA,John Crotty,PG,73.00,185,15-Jul-69,us US,8,Virginia
2001,UTA,John Stockton,PG,73.00,170,26-Mar-62,us US,16,Gonzaga
2001,UTA,Jacque Vaughn,PG,73.00,190,11-Feb-75,us US,3,Kansas
2004,UTA,Raul Lopez,PG,73.00,170,15-Apr-80,es ES,R,
2004,UTA,Mo Williams,SG,73.00,198,19-Dec-82,us US,R,Alabama
2007,UTA,Derek Fisher,SG,73.00,200,9-Aug-74,us US,10,Little Rock
2010,UTA,Sundiata Gaines,PG,73.00,185,18-Apr-86,us US,R,Georgia
2011,UTA,Earl Watson,PG,73.00,195,12-Jun-79,us US,9,UCLA
2013,UTA,Earl Watson,PG,73.00,195,12-Jun-79,us US,11,UCLA
2013,UTA,Mo Williams,PG,73.00,198,19-Dec-82,us US,9,Alabama
2016,UTA,Raul Neto,PG,73.00,180,19-May-92,br BR,R,
2017,UTA,Raul Neto,PG,73.00,180,19-May-92,br BR,1,
1985,DEN,Mike Evans,SG,73.00,170,19-Apr-55,us US,5,Kansas State
1988,DEN,Mike Evans,PG,73.00,170,19-Apr-55,us US,8,Kansas State
1991,DEN,Mahmoud Abdul-Rauf,PG,73.00,162,9-Mar-69,us US,R,LSU
1992,DEN,Mahmoud Abdul-Rauf,PG,73.00,162,9-Mar-69,us US,1,LSU
1994,DEN,Mahmoud Abdul-Rauf,PG,73.00,162,9-Mar-69,us US,3,LSU
1995,DEN,Mahmoud Abdul-Rauf,PG,73.00,162,9-Mar-69,us US,4,LSU
1997,DEN,Anthony Goldwire,PG,73.00,182,6-Sep-71,us US,1,Houston
1997,DEN,Mark Jackson,PG,73.00,180,1-Apr-65,us US,9,St. John's
1997,DEN,Eric Murdock,PG,73.00,190,14-Jun-68,us US,5,Providence
1998,DEN,Cory Alexander,PG,73.00,185,22-Jun-73,us US,2,Virginia
1998,DEN,Anthony Goldwire,PG,73.00,182,6-Sep-71,us US,2,Houston
1998,DEN,Bobby Jackson,PG,73.00,185,13-Mar-73,us US,R,Minnesota
2001,DEN,Anthony Goldwire,PG,73.00,182,6-Sep-71,us US,3,Houston
2001,DEN,Nick Van Exel,PG,73.00,170,27-Nov-71,us US,7,"Trinity Valley CC, Cincinnati"
2007,DEN,Anthony Carter,PG,73.00,190,16-Jun-75,us US,7,Hawaii
2010,DEN,Anthony Carter,PG,73.00,190,16-Jun-75,us US,10,Hawaii
2011,DEN,Anthony Carter,PG,73.00,190,16-Jun-75,us US,11,Hawaii
2011,DEN,Raymond Felton,SG,73.00,205,26-Jun-84,us US,5,UNC
1989,MIA,Clinton Wheeler,PG,73.00,185,October 27 1959,us US,1,William Paterson University
1991,MIA,Bimbo Coles,PG,73.00,180,April 22 1968,us US,R,Virginia Tech
1992,MIA,Bimbo Coles,PG,73.00,180,April 22 1968,us US,1,Virginia Tech
1995,MIA,Bimbo Coles,PG,73.00,180,April 22 1968,us US,4,Virginia Tech
1998,MIA,Eric Murdock,PG,73.00,190,June 14 1968,us US,6,Providence
2001,MIA,Anthony Carter,PG,73.00,190,June 16 1975,us US,1,Hawaii
2001,MIA,Eddie House,PG,73.00,180,May 14 1978,us US,R,Arizona State
2002,MIA,Anthony Carter,PG,73.00,190,June 16 1975,us US,2,Hawaii
2002,MIA,Eddie House,PG,73.00,180,May 14 1978,us US,1,Arizona State
2004,MIA,Bimbo Coles,PG,73.00,180,April 22 1968,us US,13,Virginia Tech
2007,MIA,Jason Williams,PG,73.00,190,November 18 1975,us US,8,Marshall Florida
2008,MIA,Jason Williams,PG,73.00,190,November 18 1975,us US,9,Marshall Florida
2011,MIA,Mike Bibby,PG,73.00,190,May 13 1978,us US,12,Arizona
2011,MIA,Eddie House,SG,73.00,180,May 14 1978,us US,10,Arizona State
2024,MIA,Terry Rozier,PG,73.00,190,March 17 1994,us US,8,Louisville
1998,VAN,Lee Mayberry,PG,73.00,172,June 12 1970,us US,5,Arkansas
2001,VAN,Mahmoud Abdul-Rauf,PG,73.00,162,March 9 1969,us US,8,LSU
2001,VAN,Mike Bibby,PG,73.00,190,May 13 1978,us US,2,Arizona
2001,VAN,Brent Price,PG,73.00,165,December 9 1968,us US,7,South Carolina Oklahoma
1988,SAC,Franklin Edwards,PG,73.00,170,February 2 1959,us US,6,Cleveland State University
1998,SAC,Mahmoud Abdul-Rauf,PG,73.00,162,March 9 1969,us US,7,LSU
2001,SAC,Bobby Jackson,PG,73.00,185,March 13 1973,us US,3,Minnesota
2001,SAC,Jason Williams,PG,73.00,190,November 18 1975,us US,2,Marshall Florida
2004,SAC,Mike Bibby,PG,73.00,190,May 13 1978,us US,5,Arizona
2004,SAC,Bobby Jackson,SG,73.00,185,March 13 1973,us US,6,Minnesota
2005,SAC,Mike Bibby,PG,73.00,190,May 13 1978,us US,6,Arizona
2005,SAC,Eddie House,PG,73.00,180,May 14 1978,us US,4,Arizona State
2005,SAC,Bobby Jackson,SG,73.00,185,March 13 1973,us US,7,Minnesota
2007,SAC,Mike Bibby,PG,73.00,190,May 13 1978,us US,8,Arizona
2008,SAC,Mike Bibby,PG,73.00,190,May 13 1978,us US,9,Arizona
2017,SAC,Langston Galloway,PG,73.00,200,December 9 1991,us US,2,Saint Joseph's
2020,SAC,Kyle Guy,SG,73.00,167,August 11 1997,us US,R,Virginia
2021,SAC,Kyle Guy,PG,73.00,167,August 11 1997,us US,1,Virginia
2024,SAC,Jordan Ford,PG,73.00,175,May 26 1998,us US,R,Saint Mary's
1991,ORL,Scott Skiles,PG,73.00,180,March 5 1964,us US,4,Michigan State
1992,ORL,Scott Skiles,PG,73.00,180,March 5 1964,us US,5,Michigan State
2001,ORL,Cory Alexander,PG,73.00,185,June 22 1973,us US,5,Virginia
2001,ORL,Dee Brown,PG,73.00,160,November 29 1968,us US,10,Jacksonville University
2001,ORL,Troy Hudson,PG,73.00,170,March 13 1976,us US,3,Missouri Southern Illinois
2002,ORL,Dee Brown,PG,73.00,160,November 29 1968,us US,11,Jacksonville University
2002,ORL,Troy Hudson,PG,73.00,170,March 13 1976,us US,4,Missouri Southern Illinois
2004,ORL,Shammond Williams,SG,73.00,201,April 5 1975,us US,5,UNC
2007,ORL,Travis Diener,PG,73.00,175,March 1 1982,us US,1,Marquette
2011,ORL,Chris Duhon,PG,73.00,185,August 31 1982,us US,6,Duke
2011,ORL,Jason Williams,PG,73.00,190,November 18 1975,us US,11,Marshall Florida
2020,ORL,Josh Magette,PG,73.00,160,November 28 1989,us US,1,Alabama-Huntsville
2012,OKC,Derek Fisher,PG,73.00,200,August 9 1974,us US,15,Little Rock
2014,OKC,Derek Fisher,SG,73.00,200,August 9 1974,us US,17,Little Rock
2018,OKC,Raymond Felton,PG,73.00,205,June 26 1984,us US,12,UNC
2021,OKC,Justin Robinson,PG,73.00,195,October 12 1997,us US,1,Virginia Tech
2008,NOH,Bobby Jackson,SG,73.00,185,March 13 1973,us US,10,Minnesota
2008,NOH,Jannero Pargo,SG,73.00,175,October 22 1979,us US,5,Arkansas
2014,NOP,Brian Roberts,PG,73.00,173,December 3 1985,us US,1,Dayton
2018,NOP,Mike James,PG,73.00,189,August 18 1990,us US,R,Lamar
2018,NOP,Rajon Rondo,PG,73.00,180,February 22 1986,us US,11,Kentucky
2021,NOP,Eric Bledsoe,SG,73.00,214,December 9 1989,us US,10,Kentucky
2021,NOP,Kira Lewis Jr.,PG,73.00,170,April 6 2001,us US,R,Alabama
2024,NOP,Kira Lewis Jr.,PG,73.00,170,April 6 2001,us US,3,Alabama
1992,MIN,Pooh Richardson,PG,73.00,180,May 14 1966,us US,2,UCLA
2004,MIN,Anthony Goldwire,PG,73.00,182,September 6 1971,us US,5,Houston
2004,MIN,Troy Hudson,PG,73.00,170,March 13 1976,us US,6,Missouri Southern Illinois
2005,MIN,Anthony Carter,PG,73.00,190,June 16 1975,us US,5,Hawaii
2005,MIN,Troy Hudson,PG,73.00,170,March 13 1976,us US,7,Missouri Southern Illinois
2007,MIN,Troy Hudson,PG,73.00,170,March 13 1976,us US,9,Missouri Southern Illinois
2011,MIN,Sundiata Gaines,PG,73.00,185,April 18 1986,us US,1,Georgia
2017,MIN,Tyus Jones,PG,73.00,196,May 10 1996,us US,1,Duke
2018,MIN,Tyus Jones,PG,73.00,196,May 10 1996,us US,2,Duke
2002,MEM,Will Solomon,SG,73.00,185,July 20 1978,us US,R,Clemson
2002,MEM,Jason Williams,PG,73.00,190,November 18 1975,us US,3,Marshall Florida
2005,MEM,Antonio Burks,PG,73.00,200,February 25 1980,us US,R,Memphis
2005,MEM,Earl Watson,PG,73.00,195,June 12 1979,us US,3,UCLA
2005,MEM,Jason Williams,PG,73.00,190,November 18 1975,us US,6,Marshall Florida
2021,BRK,Mike James,PG,73.00,189,18-Aug-90,us US,1,Lamar
2024,BRK,Dennis Schroder,PG,73.00,172,15-Sep-93,de DE,10,
2015,CHO,Jannero Pargo,PG,73.00,175,22-Oct-79,us US,10,Arkansas
2015,CHO,Brian Roberts,PG,73.00,173,3-Dec-85,us US,2,Dayton
2015,CHO,Mo Williams,PG,73.00,198,19-Dec-82,us US,11,Alabama
2018,CHO,Marcus Paige,PG,73.00,175,11-Sep-93,us US,R,UNC
2021,CHO,Devonte' Graham,PG,73.00,195,22-Feb-95,us US,2,Kansas
2021,CHO,Terry Rozier,SG,73.00,190,17-Mar-94,us US,5,Louisville
2024,CHO,Seth Curry,SG,73.00,185,23-Aug-90,us US,9,"Liberty, Duke"
2024,CHO,Terry Rozier,SG,73.00,190,17-Mar-94,us US,8,Louisville
1981,DET,Larry Drew,PG,73.00,170,2-Apr-58,us US,R,Missouri
1981,DET,Larry Wright,PG,73.00,160,23-Nov-54,us US,4,Grambling State University
1982,DET,Isiah Thomas,PG,73.00,180,30-Apr-61,us US,R,Indiana
1982,DET,Larry Wright,PG,73.00,160,23-Nov-54,us US,5,Grambling State University
1984,DET,Isiah Thomas,PG,73.00,180,30-Apr-61,us US,2,Indiana
1985,DET,Lorenzo Romar,PG,73.00,175,13-Nov-58,us US,4,Washington
1985,DET,Isiah Thomas,PG,73.00,180,30-Apr-61,us US,3,Indiana
1988,DET,Isiah Thomas,PG,73.00,180,30-Apr-61,us US,6,Indiana
1991,DET,Isiah Thomas,PG,73.00,180,30-Apr-61,us US,9,Indiana
1994,DET,Isiah Thomas,PG,73.00,180,30-Apr-61,us US,12,Indiana
1997,DET,Litterial Green,PG,73.00,185,7-Mar-70,us US,2,Georgia
2000,DET,John Crotty,PG,73.00,185,15-Jul-69,us US,7,Virginia
2014,DET,Brandon Jennings,PG,73.00,170,23-Sep-89,us US,4,
2016,DET,Brandon Jennings,PG,73.00,170,23-Sep-89,us US,6,
2019,DET,Langston Galloway,SG,73.00,200,9-Dec-91,us US,4,Saint Joseph's
2019,DET,Kalin Lucas,PG,73.00,195,24-May-89,us US,1,Michigan State
2020,DET,Langston Galloway,SG,73.00,200,9-Dec-91,us US,5,Saint Joseph's
1982,KCK,Larry Drew,PG,73.00,170,2-Apr-58,us US,1,Missouri
1985,KCK,Larry Drew,PG,73.00,170,2-Apr-58,us US,4,Missouri
1985,LAC,Franklin Edwards,PG,73.00,170,2-Feb-59,us US,3,Cleveland State University
1988,LAC,Larry Drew,PG,73.00,170,2-Apr-58,us US,7,Missouri
1988,LAC,Darnell Valentine,PG,73.00,183,3-Feb-59,us US,6,Kansas
1994,LAC,Mark Jackson,PG,73.00,180,1-Apr-65,us US,6,St. John's
1995,LAC,Pooh Richardson,PG,73.00,180,14-May-66,us US,5,UCLA
1998,LAC,Pooh Richardson,PG,73.00,180,14-May-66,us US,8,UCLA
2004,LAC,Eddie House,SG,73.00,180,14-May-78,us US,3,Arizona State
2011,LAC,Eric Bledsoe,PG,73.00,214,9-Dec-89,us US,R,Kentucky
2011,LAC,Mo Williams,PG,73.00,198,19-Dec-82,us US,7,Alabama
2017,LAC,Raymond Felton,PG,73.00,205,26-Jun-84,us US,11,UNC
2011,MEM,Jason Williams,PG,73.00,190,18-Nov-75,us US,11,"Marshall, Florida"
2014,MEM,Seth Curry,PG,73.00,185,23-Aug-90,us US,R,"Liberty, Duke"
2015,MEM,Kalin Lucas,PG,73.00,195,24-May-89,us US,R,Michigan State
2020,MEM,Tyus Jones,PG,73.00,196,10-May-96,us US,4,Duke
2021,MEM,Tyus Jones,PG,73.00,196,10-May-96,us US,5,Duke
2023,MEM,Tyus Jones,PG,73.00,196,10-May-96,us US,7,Duke
2024,MEM,Scotty Pippen Jr.,PG,73.00,185,10-Nov-00,us US,1,Vanderbilt
1988,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,R,St. John's
1991,NYK,Maurice Cheeks,PG,73.00,180,8-Sep-56,us US,12,West Texas A&M University
1991,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,3,St. John's
1992,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,4,St. John's
2001,NYK,Mark Jackson,PG,73.00,180,1-Apr-65,us US,13,St. John's
2004,NYK,Moochie Norris,PG,73.00,175,27-Jul-73,us US,6,"Auburn, University of West Florida"
2010,NYK,Chris Duhon,PG,73.00,185,31-Aug-82,us US,5,Duke
2010,NYK,Eddie House,SG,73.00,180,14-May-78,us US,9,Arizona State
2011,NYK,Anthony Carter,PG,73.00,190,16-Jun-75,us US,11,Hawaii
2011,NYK,Raymond Felton,PG,73.00,205,26-Jun-84,us US,5,UNC
2013,NYK,Raymond Felton,PG,73.00,205,26-Jun-84,us US,7,UNC
2014,NYK,Raymond Felton,PG,73.00,205,26-Jun-84,us US,8,UNC
2017,NYK,Brandon Jennings,PG,73.00,170,23-Sep-89,us US,7,
2020,NYK,Kadeem Allen,PG,73.00,200,15-Jan-93,us US,2,Arizona
1980,ATL,Eddie Johnson,SG,74.00,180,24-Feb-55,us US,2,Auburn
1981,ATL,Eddie Johnson,SG,74.00,180,24-Feb-55,us US,3,Auburn
1982,ATL,Eddie Johnson,SG,74.00,180,February 24 1955,us US,4,Auburn
1982,ATL,Mike Glenn,SG,74.00,175,September 10 1955,us US,4,Southern Illinois
1982,ATL,Rory Sparrow,PG,74.00,175,June 12 1958,us US,1,Villanova
1983,ATL,Eddie Johnson,SG,74.00,180,24-Feb-55,us US,5,Auburn
1983,ATL,Johnny Davis,SG,74.00,170,21-Oct-55,us US,6,Dayton
1983,ATL,Mike Glenn,SG,74.00,175,10-Sep-55,us US,5,Southern Illinois
1983,ATL,Rory Sparrow,PG,74.00,175,12-Jun-58,us US,2,Villanova
1984,ATL,Eddie Johnson,SG,74.00,180,24-Feb-55,us US,6,Auburn
1984,ATL,Johnny Davis,PG,74.00,170,21-Oct-55,us US,7,Dayton
1984,ATL,Mike Glenn,SG,74.00,175,10-Sep-55,us US,6,Southern Illinois
1985,ATL,Eddie Johnson,SG,74.00,180,February 24 1955,us US,7,Auburn
1985,ATL,Mike Glenn,SG,74.00,175,September 10 1955,us US,7,Southern Illinois
1986,ATL,Eddie Johnson,SG,74.00,180,24-Feb-55,us US,8,Auburn
1986,ATL,John Battle,SG,74.00,175,9-Nov-62,us US,R,Rutgers University
1986,ATL,Johnny Davis,SG,74.00,170,21-Oct-55,us US,9,Dayton
1986,ATL,Sedric Toney,PG,74.00,178,13-Apr-62,us US,R,Dayton
1987,ATL,Gus Williams,SG,74.00,175,10-Oct-53,us US,10,USC
1987,ATL,John Battle,SG,74.00,175,9-Nov-62,us US,1,Rutgers University
1988,ATL,John Battle,SG,74.00,175,November 9 1962,us US,2,Rutgers University
1989,ATL,John Battle,SG,74.00,175,9-Nov-62,us US,3,Rutgers University
1990,ATL,Haywoode Workman,PG,74.00,180,23-Jan-66,us US,R,"Winston-Salem State, Oral Roberts"
1990,ATL,John Battle,SG,74.00,175,9-Nov-62,us US,4,Rutgers University
1990,ATL,Sedric Toney,PG,74.00,178,13-Apr-62,us US,3,Dayton
1991,ATL,John Battle,SG,74.00,175,November 9 1962,us US,5,Rutgers University
1991,ATL,Rumeal Robinson,PG,74.00,195,November 13 1966,jm JM,R,Michigan
1992,ATL,Rumeal Robinson,PG,74.00,195,November 13 1966,jm JM,1,Michigan
1992,ATL,Travis Mays,PG,74.00,190,June 19 1968,us US,1,Texas
1993,ATL,Travis Mays,PG,74.00,190,19-Jun-68,us US,2,Texas
1995,ATL,Sergei Bazarevich,PG,74.00,168,March 16 1965,ru RU,R,
2000,ATL,Jason Terry,PG,74.00,185,15-Sep-77,us US,R,Arizona
2001,ATL,Jason Terry,SG,74.00,185,September 15 1977,us US,1,Arizona
2002,ATL,Jason Terry,SG,74.00,185,15-Sep-77,us US,2,Arizona
2003,ATL,Jason Terry,PG,74.00,185,15-Sep-77,us US,3,Arizona
2004,ATL,Jason Terry,PG,74.00,185,September 15 1977,us US,4,Arizona
2013,ATL,Lou Williams,SG,74.00,175,October 27 1986,us US,7,
2014,ATL,Lou Williams,PG,74.00,175,October 27 1986,us US,8,
2021,ATL,Lou Williams,PG,74.00,175,27-Oct-86,us US,15,
2022,ATL,Cat Barber,PG,74.00,190,25-Jul-94,us US,R,NC State
2022,ATL,Lou Williams,PG,74.00,175,27-Oct-86,us US,16,
2024,ATL,Patty Mills,PG,74.00,180,11-Aug-88,au AU,14,Saint Mary's
1980,BOS,Gerald Henderson,PG,74.00,175,16-Jan-56,us US,R,VCU
1981,BOS,Gerald Henderson,PG,74.00,175,January 16 1956,us US,1,VCU
1981,BOS,Terry Duerod,SG,74.00,180,July 29 1956,us US,1,Detroit Mercy
1982,BOS,Gerald Henderson,PG,74.00,175,16-Jan-56,us US,2,VCU
1982,BOS,Terry Duerod,SG,74.00,180,29-Jul-56,us US,2,Detroit Mercy
1983,BOS,Gerald Henderson,PG,74.00,175,16-Jan-56,us US,3,VCU
1984,BOS,Gerald Henderson,PG,74.00,175,January 16 1956,us US,4,VCU
1986,BOS,Sam Vincent,SG,74.00,185,18-May-63,us US,R,Michigan State
1987,BOS,Sam Vincent,PG,74.00,185,May 18 1963,us US,1,Michigan State
1989,BOS,Kelvin Upshaw,SG,74.00,180,24-Jan-63,us US,R,Utah
1990,BOS,Kelvin Upshaw,SG,74.00,180,January 24 1963,us US,1,Utah
1991,BOS,A.J. Wynder,PG,74.00,180,September 11 1964,us US,R,UMass Fairfield
1999,BOS,Marlon Garnett,PG,74.00,186,3-Jul-75,us US,R,Santa Clara
2000,BOS,Wayne Turner,PG,74.00,190,March 22 1976,us US,R,Kentucky
2001,BOS,Chris Herren,PG,74.00,197,27-Sep-75,us US,1,"Boston College, Fresno State"
2001,BOS,Randy Brown,PG,74.00,190,22-May-68,us US,9,"Houston, New Mexico State"
2002,BOS,Randy Brown,PG,74.00,190,22-May-68,us US,10,"Houston, New Mexico State"
2003,BOS,J.R. Bremer,PG,74.00,185,September 19 1980,us US,R,St. Bonaventure
2004,BOS,Marcus Banks,PG,74.00,200,19-Nov-81,us US,R,UNLV
2004,BOS,Mike James,PG,74.00,188,23-Jun-75,us US,2,Duquesne
2005,BOS,Marcus Banks,PG,74.00,200,19-Nov-81,us US,1,UNLV
2006,BOS,Marcus Banks,PG,74.00,200,November 19 1981,us US,2,UNLV
2007,BOS,Allan Ray,SG,74.00,190,June 17 1984,us US,R,Villanova
2009,BOS,Stephon Marbury,PG,74.00,180,February 20 1977,us US,12,Georgia Tech
2010,BOS,Oliver Lafayette,SG,74.00,190,May 6 1984,us US,R,Houston
2011,BOS,Carlos Arroyo,PG,74.00,202,30-Jul-79,pr PR,8,Florida International University
2013,BOS,Jason Terry,SG,74.00,185,September 15 1977,us US,13,Arizona
2018,BOS,Jonathan Gibson,PG,74.00,185,8-Nov-87,us US,1,New Mexico State
2018,BOS,Kyrie Irving,PG,74.00,195,23-Mar-92,au AU,6,Duke
2019,BOS,Kyrie Irving,PG,74.00,195,March 23 1992,au AU,7,Duke
2013,BRK,C.J. Watson,PG,74.00,175,17-Apr-84,us US,5,Tennessee
2014,BRK,Jason Terry,PG,74.00,185,September 15 1977,us US,14,Arizona
2014,BRK,Marquis Teague,SG,74.00,189,February 28 1993,us US,1,Kentucky
2020,BRK,Kyrie Irving,PG,74.00,195,23-Mar-92,au AU,8,Duke
2022,BRK,Kyrie Irving,PG,74.00,195,23-Mar-92,au AU,10,Duke
2022,BRK,Patty Mills,SG,74.00,180,11-Aug-88,au AU,12,Saint Mary's
2023,BRK,Kyrie Irving,PG,74.00,195,23-Mar-92,au AU,11,Duke
2023,BRK,Patty Mills,PG,74.00,180,11-Aug-88,au AU,13,Saint Mary's
2014,CHA,Luke Ridnour,PG,74.00,175,February 13 1981,us US,10,Oregon
1990,CHH,Micheal Williams,PG,74.00,175,23-Jul-66,us US,1,Baylor
1994,CHH,Rumeal Robinson,PG,74.00,195,13-Nov-66,jm JM,3,Michigan
1995,CHH,Greg Sutton,PG,74.00,170,December 3 1967,us US,1,Oral Roberts
1996,CHH,Greg Sutton,PG,74.00,170,3-Dec-67,us US,2,Oral Roberts
1998,CHH,B.J. Armstrong,PG,74.00,175,September 9 1967,us US,8,Iowa
1999,CHH,B.J. Armstrong,PG,74.00,175,9-Sep-67,us US,9,Iowa
2000,CHH,Jason Miskiri,PG,74.00,175,19-Aug-75,gy GY,R,George Mason
2002,CHH,Bryce Drew,PG,74.00,185,21-Sep-74,us US,3,Valparaiso
1980,CHI,John Mengelt,SG,74.00,195,16-Oct-49,us US,8,Auburn
1981,CHI,Ronnie Lester,PG,74.00,175,January 1 1959,us US,R,Iowa
1982,CHI,Ronnie Lester,PG,74.00,175,1-Jan-59,us US,1,Iowa
1983,CHI,Mike Bratz,PG,74.00,185,17-Oct-55,us US,5,Stanford
1983,CHI,Ronnie Lester,PG,74.00,175,1-Jan-59,us US,2,Iowa
1984,CHI,Ronnie Lester,PG,74.00,175,January 1 1959,us US,3,Iowa
1986,CHI,John Paxson,PG,74.00,185,29-Sep-60,us US,2,Notre Dame
1987,CHI,John Paxson,PG,74.00,185,September 29 1960,us US,3,Notre Dame
1987,CHI,Sedale Threatt,PG,74.00,175,September 10 1961,us US,3,West Virginia Tech
1988,CHI,John Paxson,PG,74.00,185,September 29 1960,us US,4,Notre Dame
1988,CHI,Rory Sparrow,PG,74.00,175,June 12 1958,us US,7,Villanova
1988,CHI,Sam Vincent,PG,74.00,185,May 18 1963,us US,2,Michigan State
1988,CHI,Sedale Threatt,PG,74.00,175,September 10 1961,us US,4,West Virginia Tech
1988,CHI,Tony White,PG,74.00,170,February 15 1965,us US,R,Tennessee
1989,CHI,Craig Hodges,SG,74.00,190,27-Jun-60,us US,6,Cal State Long Beach
1989,CHI,Dominic Pressley,PG,74.00,170,30-May-64,us US,R,Boston College
1989,CHI,John Paxson,PG,74.00,185,29-Sep-60,us US,5,Notre Dame
1989,CHI,Sam Vincent,PG,74.00,185,18-May-63,us US,3,Michigan State
1990,CHI,B.J. Armstrong,PG,74.00,175,September 9 1967,us US,R,Iowa
1990,CHI,Craig Hodges,SG,74.00,190,June 27 1960,us US,7,Cal State Long Beach
1990,CHI,John Paxson,PG,74.00,185,September 29 1960,us US,6,Notre Dame
1991,CHI,B.J. Armstrong,PG,74.00,175,September 9 1967,us US,1,Iowa
1991,CHI,Craig Hodges,SG,74.00,190,June 27 1960,us US,8,Cal State Long Beach
1991,CHI,John Paxson,PG,74.00,185,September 29 1960,us US,7,Notre Dame
1992,CHI,B.J. Armstrong,PG,74.00,175,9-Sep-67,us US,2,Iowa
1992,CHI,Craig Hodges,SG,74.00,190,27-Jun-60,us US,9,Cal State Long Beach
1992,CHI,John Paxson,PG,74.00,185,29-Sep-60,us US,8,Notre Dame
1992,CHI,Rory Sparrow,PG,74.00,175,12-Jun-58,us US,11,Villanova
1993,CHI,B.J. Armstrong,PG,74.00,175,September 9 1967,us US,3,Iowa
1993,CHI,Corey Williams,PG,74.00,190,April 24 1970,us US,R,Oklahoma State
